idp_issueddate,idp_validtime,value,location_name,location_coordinates_x,location_coordinates_y,location_coordinates_wkid,attributes_objectid,attributes_name,attributes_minps,attributes_maxps,attributes_lowps,attributes_highps,attributes_category,attributes_tag,attributes_groupname,attributes_productname,attributes_centerx,attributes_centery,attributes_zorder,attributes_idp_source,attributes_idp_subset,attributes_idp_filedate,attributes_idp_ingestdate,attributes_idp_current_forecast,attributes_idp_time_series,attributes_idp_issueddate,attributes_idp_validtime,attributes_idp_validendtime,attributes_idp_fcst_hour,attributes_idp_grb_level,attributes_idp_grb_elem,attributes_st_area_shape_,service_name,url,requested_on
2023-10-16 12:00:00+00:00,2023-10-16 13:00:00+00:00,28,Yosemite,-119.6494,37.7959,4326,174611,ds_apm25h01_bc_B01,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479275000,1,10001,1697457600000,1697461200000,1697464799000,1, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 12:00:00+00:00,2023-10-16 14:00:00+00:00,17,Yosemite,-119.6494,37.7959,4326,174612,ds_apm25h01_bc_B02,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479284000,1,10002,1697457600000,1697464800000,1697468399000,2, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 06:00:00+00:00,2023-10-16 08:00:00+00:00,49,Yosemite,-119.6494,37.7959,4326,174539,ds_apm25h01_bc_B02,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697453040000,1697454671000,2,20002,1697436000000,1697443200000,1697446799000,2, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 12:00:00+00:00,2023-10-16 16:00:00+00:00,18,Yosemite,-119.6494,37.7959,4326,174614,ds_apm25h01_bc_B04,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479304000,1,10004,1697457600000,1697472000000,1697475599000,4, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 06:00:00+00:00,2023-10-16 12:00:00+00:00,29,Yosemite,-119.6494,37.7959,4326,174543,ds_apm25h01_bc_B06,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697453040000,1697454713000,2,20006,1697436000000,1697457600000,1697461199000,6, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 12:00:00+00:00,2023-10-16 20:00:00+00:00,6,Yosemite,-119.6494,37.7959,4326,174618,ds_apm25h01_bc_B08,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479343000,1,10008,1697457600000,1697486400000,1697489999000,8, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 12:00:00+00:00,2023-10-16 21:00:00+00:00,11,Yosemite,-119.6494,37.7959,4326,174619,ds_apm25h01_bc_B09,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479354000,1,10009,1697457600000,1697490000000,1697493599000,9, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 06:00:00+00:00,2023-10-16 15:00:00+00:00,15,Yosemite,-119.6494,37.7959,4326,174546,ds_apm25h01_bc_B09,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697453040000,1697454739000,2,20009,1697436000000,1697468400000,1697471999000,9, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 12:00:00+00:00,2023-10-16 22:00:00+00:00,16,Yosemite,-119.6494,37.7959,4326,174620,ds_apm25h01_bc_B10,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697474640000,1697479364000,1,10010,1697457600000,1697493600000,1697497199000,10, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
2023-10-16 06:00:00+00:00,2023-10-16 16:00:00+00:00,17,Yosemite,-119.6494,37.7959,4326,174547,ds_apm25h01_bc_B10,0,12993337.792219998,6496.668896110001,6496.668896110001,1,Dataset,,,-11255777.50995,5033296.74205,,,CONUS,1697453040000,1697454747000,2,20010,1697436000000,1697472000000,1697475599000,10, 1-SIGL," PMTF=""Particulate matter (fine) [µg/m^3]""",0,air_quality/ndgd_apm25_hr01_bc,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometry=%7B%22x%22%3A+%22-119.6494%22%2C+%22y%22%3A+%2237.7959%22%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&returnGeometry=False&returnCatalogItems=True&returnPixelValues=True&processAsMultidimensional=False&f=json,2023-10-16 23:32:55.910268-07:00
